OID_,pikaSites_Buffer_Site,ScaledMean,ScaledSTD
1,P003,0.245266658528646,0.009670525382385
2,P005,0.413828580729167,0.041499350497214
3,P008,0.405221429443359,0.042385627531744
4,P007,0.351921429443359,0.030267288286564
5,P042,0.365303576660156,0.021852389543213
6,P037,0.408857145182292,0.026661706889306
7,P051,0.297828564453125,0.009333809511662
8,P038,0.306942858886719,0.010134620497343
9,P039,0.321542862955729,0.011535945347043
10,P157,0.386576188151042,0.023287109684103
11,P060,0.326214294433594,0.049642858886719
12,P153,0.389946423339844,0.030085088448801
13,P118,0.259171429443359,0.022882386415639
14,P063,0.274421429443359,0.067347992234130
15,P250,0.285242852783203,0.006190077660558
16,P128,0.280961905924479,0.030206032594403
17,P135,0.460038094075521,0.073404876139168
18,P133,0.573414290364583,0.026425583988972
19,MV,0.409171429443359,0.009843135626533
20,P146A,0.268519051106771,0.048019824175117
21,Polychrome,0.309392852783203,0.067077106853968
22,P138,0.341635717773438,0.030317455835924
23,P300,0.486138102213542,0.073146756002267
24,P301,0.323961893717448,0.144618591826689
25,P302,0.221328572591146,0.023269680246491
26,P303,0.255575006103516,0.055562538128149
27,P152A,0.326942858886719,0.061247354915221
28,P002,0.215464285278320,0.013782489239787
29,P092,0.213642858886719,0.017984247343251
30,P094,0.144667855834961,0.037503111809905
31,P119,0.215923815917969,0.019300648773309
32,P111,0.211203573608398,0.027144530311987
33,P609,0.213433329264323,0.061338442121482
34,P615,0.163092855834961,0.003975457662120
35,P601,0.316419042968750,0.057147693332210
36,P010A,0.314785717773438,0.013051161010844
37,P616,0.200995239257813,0.015893070811276
38,P617,0.167550000000000,0.051816452329168
39,P604,0.249650000000000,0.055220968927657
40,P605A,0.342407138061523,0.100584211883944
41,P100,0.364571427408854,0.007293555029871
42,P618,0.399610717773438,0.003088294364454
43,P612,0.329066666666667,0.033433575419329
44,P147,0.349485717773438,0.059189870371911
45,P619,0.407309513346354,0.083941687594224
46,JB01,0.162885714721680,0.038896836196743
47,JB02,0.170178573608398,0.053262939379224
