OID_,pikaSites_Buffer_Site,ScaledSTD,ScaledMean
1,P003,0.051358798655551,0.398362860107422
2,P005,0.031840321377208,0.542305247738487
3,P008,0.069962862652780,0.591787753441220
4,P007,0.014051673835240,0.524717131347656
5,P042,0.011293000997903,0.574171430407072
6,P037,0.040359866918256,0.651266662016369
7,P051,0.032572501453145,0.538067861328125
8,P038,0.043775045561130,0.587481190892270
9,P039,0.019419673908570,0.579153057570684
10,P157,0.028769920325614,0.607751883737665
11,P060,0.029021225349295,0.538233082339638
12,P153,0.025346030210160,0.603781964432566
13,P118,0.034659932442216,0.520029337993421
14,P063,0.058759445255038,0.439079706774260
15,P250,0.035954337273333,0.548932141113281
16,P128,0.051519257373026,0.511158568115234
17,P135,0.054363134849478,0.724608267372533
18,P133,0.027998975399053,0.755504299316406
19,MV,0.019447903412437,0.577581956722862
20,P146A,0.087190219727098,0.424612138671875
21,Polychrome,0.086172353070485,0.466990977076480
22,P138,0.040834864946503,0.577193978721217
23,P300,0.050123476234896,0.665813574218750
24,P301,0.122169996032779,0.504396430664062
25,P302,0.052970546436666,0.326383451120477
26,P303,0.073578075392535,0.567878955078125
27,P152A,0.077171368467082,0.564505004882812
28,P002,0.024335273238698,0.436178581542969
29,P092,0.039825018827962,0.435089273681641
30,P094,0.063985763733609,0.285975188887747
31,P119,0.044253759143680,0.480334700520833
32,P111,0.045004875315621,0.436830159505208
33,P609,0.146988215958997,0.536759394274260
34,P615,0.066221570223307,0.264314291381836
35,P601,0.097557626343198,0.584637131347656
36,P010A,0.054211047473244,0.449979998779297
37,P616,0.087613677524046,0.515127814041941
38,P617,0.065494513369912,0.410700756835938
39,P604,0.071504220415377,0.369327817896793
40,P605A,0.091151890877002,0.530124059416118
41,P100,0.024886774008748,0.651933084909539
42,P618,0.010758995569594,0.659920004882812
43,P612,0.047625683516354,0.551527073910362
44,P147,0.116379174170272,0.525285715332031
45,P619,0.091560361980546,0.607332541232639
46,JB01,0.047792409395239,0.347075940583882
47,JB02,0.063106624262230,0.330451431884766
