OID_,pikaSites_Buffer_Site,MEAN,STD
1,P003,0.361614733934402,0.003440320803399
2,P005,0.344263546168804,0.002448427506538
3,P008,0.346034526824951,0.000000000000000
4,P007,0.357497826218605,0.001589193940163
5,P042,0.236701443791389,0.000000000000000
6,P037,0.221571793158849,0.004161952119128
7,P051,0.224132120609283,0.000000000000000
8,P038,0.226019740104675,0.000000000000000
9,P039,0.233649581670761,0.000000000000000
10,P157,0.223773509263992,0.000000000000000
11,P060,0.217047855257988,0.000084758622230
12,P153,0.216243952512741,0.000000000000000
13,P118,0.309401601552963,0.000000000000000
14,P063,0.327389111121496,0.018577684571925
15,P250,0.309253931045532,0.000000000000000
16,P128,0.306746929883957,0.000000000000000
17,P135,0.272379815578461,0.000277073382111
18,P133,0.218296781182289,0.000000000000000
19,MV,0.428807497024536,0.000000000000000
20,P146A,0.533714473247528,0.000000000000000
21,Polychrome,0.368978455662727,0.006684646010399
22,P138,0.322164207696915,0.039114846375869
23,P300,0.371511489152908,0.000000000000000
24,P301,0.073913142085075,0.000000000000000
25,P302,0.847606480121613,0.000000000000000
26,P303,0.485483497381210,0.000403314828873
27,P152A,0.336014091968536,0.000000000000000
28,P002,0.368684500455856,0.002826988697052
29,P092,0.392804950475693,0.000000000000000
30,P094,0.406520485877991,0.000000000000000
31,P119,0.309346780180931,0.000353142619133
32,P111,0.308725076913834,0.000271296501160
33,P609,1.222092390060425,0.000000000000000
34,P615,0.496076136827469,0.000000000000000
35,P601,0.241082876920700,0.000000000000000
36,P010A,0.352539539337158,0.000000000000000
37,P616,0.249121852219105,0.095498315989971
38,P617,0.666409492492676,0.000000000000000
39,P604,0.847056408723195,0.017846549141857
40,P605A,0.958464562892914,0.008311610130463
41,P100,0.279663592576981,0.000000000000000
42,P618,0.300547391176224,0.000020265579224
43,P612,0.307832568883896,0.000000000000000
44,P147,0.242776706814766,0.000000000000000
45,P619,0.395895987749100,0.000000000000000
46,JB01,0.364367276430130,0.000000000000000
47,JB02,0.369000464677811,0.000000000000000
