 ,latitude,longitude,Year,Date,avg.tmax,avg.tmin,percent.tmax.days,summer.pcpn.mm,winter.pcpn.mm
P003,61.795912,-149.272744,2018,7/9/2018,10.64304348,-11.27578512,0,380.8,858.86
P005,61.781319,-149.332478,2018,7/10/2018,10.46347826,-11.44355372,0,454.13,795.46
P008,61.7676149,-149.347223,2018,7/11/2018,11.82804348,-11.35595041,0,435.3,738.9
P007,61.771669,-149.307037,2018,7/13/2018,10.42717391,-11.31512397,0,435.27,733.33
P042,65.483216,-145.401455,2018,7/17/2018,13.79445652,-17.40619835,0,275.55,115.12
P037,65.500575,-145.33842,2018,7/18/2018,16.85184783,-17.77016529,0,233.5,94.05
P051,65.407041,-146.007,2018,7/19/2018,14.44173913,-15.50570248,0,229.94,113.87
P038,65.494097,-145.441584,2018,7/20/2018,14.18021739,-17.35438017,0,268.32,111.43
P039,65.498644,-145.500423,2018,7/21/2018,15.29152174,-17.26421488,0,250.79,103.39
P157,65.394559,-146.010144,2018,7/22/2018,15.83913043,-15.51033058,0,214.86,106.13
P060,65.373228,-146.636898,2018,7/23/2018,14.50576087,-14.71545455,0,255.11,147
P153,65.363468,-146.565185,2018,7/24/2018,14.64184783,-14.6946281,0,253.95,153.15
P118,63.08574,-146.36537,2018,7/31/2018,15.04315217,-21.88057851,0.010869565,274.71,134.76
P063,63.49724,-145.80457,2018,8/1/2018,17.41271739,-21.08181818,0.02173913,327.75,201.87
P250,63.08475497,-146.412713,2018,8/2/2018,14.985,-21.90628099,0.010869565,273.04,133.86
P128,63.074222,-146.231861,2018,8/3/2018,15.47054348,-21.6492562,0.010869565,264.6,129.42
P135,63.748337,-148.872317,2018,8/15/2018,15.3626087,-16.56173554,0,213.43,125.96
P133,63.801632,-148.979144,2018,8/16/2018,14.98902174,-16.27247934,0,213.14,120.18
MV,63.43067603,-150.366498,2018,8/18/2018,14.40619565,-14.83950413,0,272.82,168.21
P146A,63.43659097,-150.316008,2018,8/19/2018,12.79695652,-14.85785124,0,286.81,173.45
Polychrome,63.53560698,-149.828615,2018,8/20/2018,15.09586957,-15.2892562,0,248.87,141.37
P138,63.739354,-149.281669,2018,8/21/2018,15.53391304,-15.90016529,0,232.53,135.15
P300,61.81248601,-149.2166,2018,8/27/2018,13.48097826,-10.90066116,0,284.1,861.18
P301,60.76243596,-148.847649,2018,8/28/2018,15.82880435,-6.521404959,0,558.46,892.36
P302,61.04757104,-149.596296,2018,8/30/2018,13.05684783,-9.145123967,0,286.09,325.79
P303,61.093388,-149.664699,2018,8/31/2018,14.06728261,-9.473801653,0,285.59,242.41
P152A,61.77111,-149.38722,2019,7/15/2019,12.33054348,-10.45578512,0,574.68,587.58
P002,61.80948,-149.23418,2019,7/16/2019,12.08,-10.29661157,0,592.79,639.06
P092,63.12284192,-146.2469075,2019,7/24/2019,14.05315217,-19.01099174,0,320.69,39.85
P094,63.12132999,-146.18567,2019,7/24/2019,12.76826087,-19.88842975,0,345.39,41.07
P119,63.08487073,-146.3910338,2019,7/25/2019,13.0526087,-19.41942149,0,338.58,46.88
P111,63.08770004,-146.3077,2019,7/25/2019,13.09608696,-19.57206612,0,338.98,46.01
P609,61.78226799,-147.6702842,2019,7/26/2019,13.84815217,-10.78454545,0,689.71,844.15
P615,61.05958197,-149.115395,2019,7/29/2019,10.39293478,-6.850165289,0,472.18,771.91
P601,62.88168199,-149.688893,2019,7/30/2019,13.1525,-12.1877686,0,521.4,326.01
P010A,61.76157299,-149.323738,2019,7/31/2019,9.499891304,-10.51239669,0,665.88,551.98
P616,60.96205727,-149.0798976,2019,7/31/2019,13.68717391,-5.490743802,0,420.7,892.64
P617,61.06619303,-149.599522,2019,8/1/2019,13.32086957,-7.850082645,0,342.61,293.04
P604,61.14130997,-145.75734,2019,8/7/2019,13.87652174,-10.99694215,0,710.34,776.64
P605A,61.15659999,-145.737699,2019,8/7/2019,14.23021739,-10.8314876,0,691.21,732.89
P100,63.08387999,-145.63512,2019,8/8/2019,15.2325,-19.42768595,0.010869565,305.2,34.76
P618,63.05550196,-145.587427,2019,8/9/2019,15.36184783,-19.39619835,0.010869565,304.76,34.55
P612,63.10763698,-146.106103,2019,8/10/2019,14.21913043,-18.96785124,0,320.13,34.12
P147,63.35586302,-148.376847,2019,8/11/2019,12.75391304,-15.67256198,0,365.26,107.12
P619,63.73997597,-149.247713,2019,8/12/2019,14.06391304,-14.9585124,0,352.27,71.07
JB01,61.14944,-149.547,2019,8/19/2019,12.8773913,-8.588016529,0,363.12,320.14
JB02,61.14596,-149.534,2019,8/20/2019,12.17195652,-8.781239669,0,376.15,338.42
